address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,source
"3/608 Moreland Road, Brunswick West, Brunswick West, VIC ",Unit,Brunswick West,true,524553,445870,603236,Low-Medium,46,12,3552,,existing
"1/129 Moriah Street, Clayton, Clayton, VIC ",Unit,Clayton,true,525657,446808,604506,Low-Medium,46,12,3275,,existing
"1302/5 Joseph Road, Footscray, Footscray, VIC ",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2634,,existing
"203/125 Francis Street, Yarraville, Yarraville, VIC ",Unit,Yarraville,true,545877,465294,626460,Medium-High,70,6,2078,,existing
"150 Keneally Street, Dandenong, Dandenong, VIC ",Unit,Dandenong,true,584300,496655,671945,Medium,60,9,3481,,existing
"3/12 David Street, Altona, Altona, VIC ",Unit,Altona,true,708433,602168,814698,Low-Medium,47,12,2663,,existing
"101/21 Lethbridge Street, Moonee Ponds, Moonee Ponds, VIC 3039",Unit,Moonee Ponds,true,477892,406208,549576,Low-Medium,33,1,3584,,existing
"2/70 Glen Huntly Road, Elwood, Elwood, VIC 3184",Unit,Elwood,true,548549,466267,630831,Low-Medium,46,8,2570,,existing
"1/17 Braund Avenue, Bell Post Hill, Bell Post Hill, VIC ",Unit,Bell Post Hill,true,554989,471741,638237,Medium-High,69,3,2754,,existing
"8 Noel Road, Langwarrin, Langwarrin, VIC ",Unit,Langwarrin,true,834614,709422,959806,Medium-High,77,12,3721,,existing
"9/292-294 Canterbury Road, Heathmont, Heathmont, VIC ",Unit,Heathmont,true,725920,617032,834808,Medium,53,4,3490,,existing
"1310/41 Batman Street, West Melbourne, West Melbourne, VIC ",Unit,West Melbourne,true,605575,514739,696411,Low-Medium,46,12,2722,,existing
"33 Nursery Avenue, Frankston, Frankston, VIC ",House,Frankston,true,826675,702674,950676,Low-Medium,48,12,5143,,existing
"10 Balmoral Avenue, Balwyn, VIC",House,Balwyn,true,1780430,1513366,2047494,Low-Medium,44,3,4698,yes,existing
"42 Tintern Avenue, Toorak, VIC",House,Toorak,true,2388687,2030384,2746990,Low-Medium,36,2,5109,yes,existing
"8 Russell Street, Camberwell, VIC",House,Camberwell,true,2722100,2313785,3130415,Low-Medium,45,3,5734,yes,existing
"25 Fulton Drive, Templestowe, VIC",House,Templestowe,true,1486987,1263939,1710035,Low-Medium,48,12,3436,yes,existing
"15 Brooklyn Avenue, Mount Waverley, VIC",House,Mount Waverley,true,1231910,1047124,1416697,Medium-High,73,9,4147,yes,existing
"7 Pannam Drive, Doncaster East, VIC",House,Doncaster East,true,1391148,1182476,1599820,Medium-High,67,12,4145,yes,existing
"68 Kameruka Road, Wheelers Hill, VIC",House,Wheelers Hill,true,1161456,987238,1335674,Medium,63,9,3937,yes,existing
"33 Baringo Close, Mulgrave, VIC",House,Mulgrave,true,909408,772997,1045819,Medium-High,68,12,3073,yes,existing
"19 Inglesby Road, Camberwell, VIC",House,Camberwell,true,2718152,2310429,3125875,Low-Medium,45,3,4407,yes,existing
"12 Cygnet Street, Wantirna South, VIC",House,Wantirna South,true,1108713,942406,1275020,Low-Medium,48,11,3172,yes,existing
